"ip","name","id","region","platform","systemService"
"172.129.89.44/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.160.216.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.164.208.220/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.182.164.108/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.183.4.112/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.187.32.16/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.187.67.44/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.191.219.248/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.194.86.168/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.194.112.244/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.198.114.96/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.201.232.60/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.202.80.168/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.204.177.28/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.209.8.40/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"172.215.202.24/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"191.233.50.4/30","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"191.233.207.64/26","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1000:4::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1000:4:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1000:104:3::1ec/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1000:104:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:6:1::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:6:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:101::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:101:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:304::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:304:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:404::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:404:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1010:502:400::80/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:5:1::114/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:5:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:104:800::40/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:206:b::fc/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:206:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:206:403::78/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:305:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:406::/128","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:605::128/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:605:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:705:3::234/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:705:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:805:1::130/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:805:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:905::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:905:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:a04:1::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:a04:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:b04:2::5b4/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:b04:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:c04:1::130/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:c04:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:d04::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:d04:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:e04:1::128/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:e04:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:f04::10c/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:f04:402::178/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:1004::130/126","ActionGroup","ActionGroup","0","Azure","ActionGroup"
"2603:1020:1004:800::f8/125","ActionGroup","ActionGroup","0","Azure","ActionGroup"
